"2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - Starting ContactControllerIT on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:38 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance with id:1 and name: Test!
""2017-01-18 11:54:38 [main] INFO  c.m.c.c.ContactControllerMockTest - Starting ContactControllerMockTest on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:38 [main] INFO  c.m.c.c.ContactControllerMockTest - No active profile set, falling back to default profiles: default
""2017-01-18 11:54:42 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:54:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:54:42 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 0 ms
""2017-01-18 11:54:42 [main] INFO  c.m.c.c.ContactControllerMockTest - Started ContactControllerMockTest in 3.797 seconds (JVM running for 33.285)
""2017-01-18 11:54:42 [main] INFO  c.m.c.controller.ContactController - Request for fetching contacts that not match regex: ^$!
""2017-01-18 11:54:42 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 9223372036854775807!
""2017-01-18 11:54:42 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 1!
""2017-01-18 11:54:42 [main] INFO  c.m.c.controller.ContactController - Request for fetching all Contacts.
""2017-01-18 11:54:42 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:54:43 [main] INFO  c.m.c.dao.impl.ContactDaoImplTest - Starting ContactDaoImplTest on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:43 [main] INFO  c.m.c.dao.impl.ContactDaoImplTest - No active profile set, falling back to default profiles: default
""2017-01-18 11:54:44 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$4ff294e2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:54:44 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6e05ec4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:54:47 [main] INFO  c.m.c.dao.impl.ContactDaoImplTest - Started ContactDaoImplTest in 4.328 seconds (JVM running for 38.257)
""2017-01-18 11:54:47 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance with id:1 and name: Test!
""2017-01-18 11:54:47 [main] INFO  c.m.c.controller.ContactController - Adding resource to contact
""2017-01-18 11:54:47 [main] INFO  c.m.c.controller.ContactController - Resource created with contact: Contact [id=1, name=Test]
""2017-01-18 11:54:47 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance with id:1 and name: Test!
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contacts from DB.
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Contacts for regex retrieved!
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contact with id: 1.
